Instance	nbAct	nbRes	dist		UB	OS	NC	RF	RS	ConsRS	DR	NFS	AVCARDFS	NFSU	AVCARDFSU
j301_6.rcp	32	4	2025713880	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3017_10.rcp	32	4	1977331149	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3017_1.rcp	32	4	708240418	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3017_2.rcp	32	4	2133262143	0	2.1	0	0.25	1	0.93	1	0	0		0	0
j3017_3.rcp	32	4	846526968	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3017_4.rcp	32	4	2082630676	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3017_5.rcp	32	4	2050292865	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3017_6.rcp	32	4	404731467	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3017_7.rcp	32	4	2087763812	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3017_8.rcp	32	4	761415969	0	2.1	0	0.25	1	1	1	0	0		0	0
j3017_9.rcp	32	4	1940473584	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j301_7.rcp	32	4	1854296928	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3018_10.rcp	32	4	391630470	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3018_1.rcp	32	4	1833473672	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3018_2.rcp	32	4	1904684544	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3018_3.rcp	32	4	1794949629	0	2.1	0	0.25	1	0.73	1	0	0		0	0
j3018_4.rcp	32	4	2087763612	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3018_5.rcp	32	4	1787120100	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3018_6.rcp	32	4	1771637374	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3018_7.rcp	32	4	2118698208	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3018_8.rcp	32	4	2037934512	0	2.1	0	0.25	1	0.93	1	0	0		0	0
j3018_9.rcp	32	4	1608383952	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j301_8.rcp	32	4	366957228	0	2.1	0	0.25	1	0.97	1	0	0		0	0
j3019_10.rcp	32	4	1737360936	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3019_1.rcp	32	4	745752528	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3019_2.rcp	32	4	725614848	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3019_3.rcp	32	4	2144039544	0	2.1	0	0.25	1	0.73	1	0	0		0	0
j3019_4.rcp	32	4	1810663344	0	2.1	0	0.25	1	0.93	1	0	0		0	0
j3019_5.rcp	32	4	719499466	0	2.1	0	0.25	1	0.93	1	0	0		0	0
j3019_6.rcp	32	4	1801986219	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3019_7.rcp	32	4	1775105062	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3019_8.rcp	32	4	648705744	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3019_9.rcp	32	4	362925456	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j301_9.rcp	32	4	794872047	0	2.1	0	0.25	1	1	1	0	0		0	0
j3020_10.rcp	32	4	1677516500	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3020_1.rcp	32	4	2113328632	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3020_2.rcp	32	4	751768128	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3020_3.rcp	32	4	762251847	0	2.1	0	0.25	1	0.73	1	0	0		0	0
j3020_4.rcp	32	4	1942991064	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3020_5.rcp	32	4	400643364	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3020_6.rcp	32	4	770999040	0	2.1	0	0.25	1	0.97	1	0	0		0	0
j3020_7.rcp	32	4	643181382	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3020_8.rcp	32	4	767024640	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3020_9.rcp	32	4	1868108256	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j302_10.rcp	32	4	1572151684	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3021_10.rcp	32	4	849888372	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3021_1.rcp	32	4	2126386227	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j3021_2.rcp	32	4	1773782604	0	2.1	0	0.51	1	0.8	1	0	0		0	0
j3021_3.rcp	32	4	854593800	0	2.1	0	0.51	1	0.73	1	0	0		0	0
j3021_4.rcp	32	4	2122157862	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3021_5.rcp	32	4	374272875	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3021_6.rcp	32	4	2004662090	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3021_7.rcp	32	4	2056941228	0	2.1	0	0.51	1	0.93	1	0	0		0	0
j3021_8.rcp	32	4	1705182791	0	2.1	0	0.51	1	0.7	1	0	0		0	0
j3021_9.rcp	32	4	1758946752	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j302_1.rcp	32	4	784100736	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3022_10.rcp	32	4	769450908	0	2.1	0	0.51	1	0.77	1	0	0		0	0
j3022_1.rcp	32	4	1786333818	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j3022_2.rcp	32	4	767120554	0	2.1	0	0.51	1	0.93	1	0	0		0	0
j3022_3.rcp	32	4	2144501582	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j3022_4.rcp	32	4	1571959689	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j3022_5.rcp	32	4	1886335776	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3022_6.rcp	32	4	1952409744	0	2.1	0	0.51	1	0.8	1	0	0		0	0
j3022_7.rcp	32	4	846542016	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3022_8.rcp	32	4	826372404	0	2.1	0	0.51	1	0.93	1	0	0		0	0
j3022_9.rcp	32	4	852205536	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j302_2.rcp	32	4	1735836477	0	2.1	0	0.25	1	0.97	1	0	0		0	0
j3023_10.rcp	32	4	1742767920	0	2.1	0	0.51	1	0.93	1	0	0		0	0
j3023_1.rcp	32	4	702624216	0	2.1	0	0.51	1	1	1	0	0		0	0
j3023_2.rcp	32	4	360830841	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3023_3.rcp	32	4	1687741621	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3023_4.rcp	32	4	1773704026	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3023_5.rcp	32	4	1856516556	0	2.1	0	0.51	1	0.93	1	0	0		0	0
j3023_6.rcp	32	4	2039389763	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3023_7.rcp	32	4	1551965184	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3023_8.rcp	32	4	1763836677	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j3023_9.rcp	32	4	2104685856	0	2.1	0	0.51	1	0.73	1	0	0		0	0
j302_3.rcp	32	4	1799659377	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3024_10.rcp	32	4	1753385366	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3024_1.rcp	32	4	1863145944	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3024_2.rcp	32	4	1670918196	0	2.1	0	0.51	1	0.8	1	0	0		0	0
j3024_3.rcp	32	4	1782032466	0	2.1	0	0.51	1	0.83	1	0	0		0	0
j3024_4.rcp	32	4	629327248	0	2.1	0	0.51	1	0.73	1	0	0		0	0
j3024_5.rcp	32	4	1784601720	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3024_6.rcp	32	4	1742291180	0	2.1	0	0.51	1	0.9	1	0	0		0	0
j3024_7.rcp	32	4	1952557500	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3024_8.rcp	32	4	1694821122	0	2.1	0	0.51	1	0.87	1	0	0		0	0
j3024_9.rcp	32	4	1689917643	0	2.1	0	0.51	1	0.8	1	0	0		0	0
j302_4.rcp	32	4	424036752	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3025_10.rcp	32	4	1903384224	0	2.1	0	0.76	1	0.97	1	0	0		0	0
j3025_1.rcp	32	4	1875298604	0	2.1	0	0.76	1	0.7	1	0	0		0	0
j3025_2.rcp	32	4	1984409448	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3025_3.rcp	32	4	1855405728	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3025_4.rcp	32	4	649575936	0	2.1	0	0.76	1	0.73	1	0	0		0	0
j3025_5.rcp	32	4	1898932654	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3025_6.rcp	32	4	810057744	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3025_7.rcp	32	4	1950221860	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j3025_8.rcp	32	4	1776218252	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3025_9.rcp	32	4	721658934	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j302_5.rcp	32	4	1813985424	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3026_10.rcp	32	4	1670576400	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3026_1.rcp	32	4	2001234491	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3026_2.rcp	32	4	1571958184	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3026_3.rcp	32	4	1523755414	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3026_4.rcp	32	4	1661621418	0	2.1	0	0.76	1	0.97	1	0	0		0	0
j3026_5.rcp	32	4	1998307584	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3026_6.rcp	32	4	1775798640	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3026_7.rcp	32	4	774807432	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3026_8.rcp	32	4	1646133264	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3026_9.rcp	32	4	2075731550	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j302_6.rcp	32	4	2022591312	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3027_10.rcp	32	4	858945180	0	2.1	0	0.76	1	0.83	1	0	0		0	0
j3027_1.rcp	32	4	1934924112	0	2.1	0	0.76	1	0.97	1	0	0		0	0
j3027_2.rcp	32	4	1587255264	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3027_3.rcp	32	4	1785136354	0	2.1	0	0.76	1	0.97	1	0	0		0	0
j3027_4.rcp	32	4	634895496	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3027_5.rcp	32	4	1984470201	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j3027_6.rcp	32	4	428306616	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j3027_7.rcp	32	4	1775229332	0	2.1	0	0.76	1	0.7	1	0	0		0	0
j3027_8.rcp	32	4	1860287988	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3027_9.rcp	32	4	808579584	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j302_7.rcp	32	4	778031306	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3028_10.rcp	32	4	666810150	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3028_1.rcp	32	4	1798893216	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3028_2.rcp	32	4	400028976	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3028_3.rcp	32	4	781002600	0	2.1	0	0.76	1	0.77	1	0	0		0	0
j3028_4.rcp	32	4	2070638388	0	2.1	0	0.76	1	0.93	1	0	0		0	0
j3028_5.rcp	32	4	1808158912	0	2.1	0	0.76	1	0.93	1	0	0		0	0
j3028_6.rcp	32	4	2128073500	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3028_7.rcp	32	4	1806936446	0	2.1	0	0.76	1	0.87	1	0	0		0	0
j3028_8.rcp	32	4	718688847	0	2.1	0	0.76	1	0.9	1	0	0		0	0
j3028_9.rcp	32	4	2050017996	0	2.1	0	0.76	1	0.8	1	0	0		0	0
j302_8.rcp	32	4	423271662	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3029_10.rcp	32	4	1989023094	0	2.1	0	1	1	0.73	1	0	0		0	0
j3029_1.rcp	32	4	1801083393	0	2.1	0	1	1	0.9	1	0	0		0	0
j3029_2.rcp	32	4	1957802400	0	2.1	0	1	1	0.73	1	0	0		0	0
j3029_3.rcp	32	4	850461120	0	2.1	0	1	1	0.7	1	0	0		0	0
j3029_4.rcp	32	4	1845526270	0	2.1	0	1	1	0.97	1	0	0		0	0
j3029_5.rcp	32	4	2055533980	0	2.1	0	1	1	0.93	1	0	0		0	0
j3029_6.rcp	32	4	1768565922	0	2.1	0	1	1	0.9	1	0	0		0	0
j3029_7.rcp	32	4	627448032	0	2.1	0	1	1	0.83	1	0	0		0	0
j3029_8.rcp	32	4	823486863	0	2.1	0	1	1	0.97	1	0	0		0	0
j3029_9.rcp	32	4	1983512916	0	2.1	0	1	1	1	1	0	0		0	0
j302_9.rcp	32	4	1989453446	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3030_10.rcp	32	4	2106239432	0	2.1	0	1	1	0.93	1	0	0		0	0
j3030_1.rcp	32	4	1726925688	0	2.1	0	1	1	0.83	1	0	0		0	0
j3030_2.rcp	32	4	2078353728	0	2.1	0	1	1	0.87	1	0	0		0	0
j3030_3.rcp	32	4	2014546464	0	2.1	0	1	1	0.83	1	0	0		0	0
j3030_4.rcp	32	4	1848775118	0	2.1	0	1	1	0.77	1	0	0		0	0
j3030_5.rcp	32	4	1744009614	0	2.1	0	1	1	0.87	1	0	0		0	0
j3030_6.rcp	32	4	709373810	0	2.1	0	1	1	0.9	1	0	0		0	0
j3030_7.rcp	32	4	787648662	0	2.1	0	1	1	0.83	1	0	0		0	0
j3030_8.rcp	32	4	850538966	0	2.1	0	1	1	0.87	1	0	0		0	0
j3030_9.rcp	32	4	1565179026	0	2.1	0	1	1	0.83	1	0	0		0	0
j303_10.rcp	32	4	394205898	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3031_10.rcp	32	4	640941610	0	2.1	0	1	1	0.83	1	0	0		0	0
j3031_1.rcp	32	4	1596397248	0	2.1	0	1	1	0.9	1	0	0		0	0
j3031_2.rcp	32	4	1952770520	0	2.1	0	1	1	0.8	1	0	0		0	0
j3031_3.rcp	32	4	1932338592	0	2.1	0	1	1	0.83	1	0	0		0	0
j3031_4.rcp	32	4	2129487144	0	2.1	0	1	1	0.9	1	0	0		0	0
j3031_5.rcp	32	4	628363008	0	2.1	0	1	1	0.87	1	0	0		0	0
j3031_6.rcp	32	4	2013026372	0	2.1	0	1	1	0.93	1	0	0		0	0
j3031_7.rcp	32	4	2110574121	0	2.1	0	1	1	0.97	1	0	0		0	0
j3031_8.rcp	32	4	387367224	0	2.1	0	1	1	0.97	1	0	0		0	0
j3031_9.rcp	32	4	1812855699	0	2.1	0	1	1	0.8	1	0	0		0	0
j303_1.rcp	32	4	1848249444	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3032_10.rcp	32	4	393267051	0	2.1	0	1	1	0.87	1	0	0		0	0
j3032_1.rcp	32	4	2112236025	0	2.1	0	1	1	0.83	1	0	0		0	0
j3032_2.rcp	32	4	1878183936	0	2.1	0	1	1	0.77	1	0	0		0	0
j3032_3.rcp	32	4	1800263178	0	2.1	0	1	1	0.77	1	0	0		0	0
j3032_4.rcp	32	4	1713214460	0	2.1	0	1	1	0.97	1	0	0		0	0
j3032_5.rcp	32	4	1891674252	0	2.1	0	1	1	0.83	1	0	0		0	0
j3032_6.rcp	32	4	1694731245	0	2.1	0	1	1	0.77	1	0	0		0	0
j3032_7.rcp	32	4	726779528	0	2.1	0	1	1	0.87	1	0	0		0	0
j3032_8.rcp	32	4	1875045396	0	2.1	0	1	1	0.77	1	0	0		0	0
j3032_9.rcp	32	4	2055453428	0	2.1	0	1	1	1	1	0	0		0	0
j303_2.rcp	32	4	2116597389	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3033_10.rcp	32	4	1855019502	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3033_1.rcp	32	4	1652302308	0	2.1	0	0.25	1	0.97	1	0	0		0	0
j3033_2.rcp	32	4	821792559	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3033_3.rcp	32	4	1816974420	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3033_4.rcp	32	4	2058515910	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3033_5.rcp	32	4	1921637639	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3033_6.rcp	32	4	425326512	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3033_7.rcp	32	4	2031983016	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3033_8.rcp	32	4	375676632	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3033_9.rcp	32	4	1780230288	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j303_3.rcp	32	4	2113753758	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3034_10.rcp	32	4	2037832106	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3034_1.rcp	32	4	1956379788	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3034_2.rcp	32	4	1814903354	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3034_3.rcp	32	4	1977716076	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3034_4.rcp	32	4	2118972939	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3034_5.rcp	32	4	2086421328	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3034_6.rcp	32	4	714474432	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3034_7.rcp	32	4	2019005688	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3034_8.rcp	32	4	706112208	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3034_9.rcp	32	4	2022300504	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j303_4.rcp	32	4	1882516635	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3035_10.rcp	32	4	652553451	0	2.1	0	0.25	1	0.73	1	0	0		0	0
j3035_1.rcp	32	4	1812780292	0	2.1	0	0.25	1	0.7	1	0	0		0	0
j3035_2.rcp	32	4	1847904660	0	2.1	0	0.25	1	0.87	1	0	0		0	0
j3035_3.rcp	32	4	2094982607	0	2.1	0	0.25	1	0.73	1	0	0		0	0
j3035_4.rcp	32	4	389254116	0	2.1	0	0.25	1	1	1	0	0		0	0
j3035_5.rcp	32	4	1756878428	0	2.1	0	0.25	1	0.93	1	0	0		0	0
j3035_6.rcp	32	4	1819156968	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3035_7.rcp	32	4	372770034	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3035_8.rcp	32	4	824000979	0	2.1	0	0.25	1	0.97	1	0	0		0	0
j3035_9.rcp	32	4	1792990080	0	2.1	0	0.25	1	1	1	0	0		0	0
j303_5.rcp	32	4	1866058340	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3036_10.rcp	32	4	1952031834	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3036_1.rcp	32	4	1548325800	0	2.1	0	0.25	1	0.8	1	0	0		0	0
j3036_2.rcp	32	4	423450000	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3036_3.rcp	32	4	1956543336	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3036_4.rcp	32	4	721946646	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3036_5.rcp	32	4	750399552	0	2.1	0	0.25	1	0.97	1	0	0		0	0
j3036_6.rcp	32	4	1941395081	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j3036_7.rcp	32	4	714745095	0	2.1	0	0.25	1	0.77	1	0	0		0	0
j3036_8.rcp	32	4	694686575	0	2.1	0	0.25	1	0.73	1	0	0		0	0
j3036_9.rcp	32	4	1726224372	0	2.1	0	0.25	1	0.83	1	0	0		0	0
j303_6.rcp	32	4	1952973504	0	2.1	0	0.25	1	0.9	1	0	0		0	0
j3037_10.rcp	32	4	642176277	0	2.1	0	0.51	1	0.73	1	0	0		0	0
j3037_1.rcp	32	4	1823758839	0	2.1	0	0.51	1	0.93	1	0	0		0	0
j3037_2.rcp	32	4	2119456116	0	2.1	0	0.51	1	0.8	1	0	0		0	0
